address,name
"['22 Bayview Ave Ste 15', 'Stonington, CT 06378-1143 | Map']",The Beer'd Brewing Company
"['1716 Topeka St', 'Norman, OK 73069-8224 | Map']",(405) Brewing Co
"['407 Radam Ln Ste F200', 'Austin, TX 78745-1197 | Map']",(512) Brewing Co
"['490 Mill St', 'Reno, NV 89502 | Map']",10 Torr Distilling and Brewing
"['294793 US Highway 101', 'Quilcene, WA 98376-9000 | Map']",101 Brewery
"['1304 Scott St Ste D', 'Petaluma, CA 94954-7100 | Map']",101 North Brewing Company
"['1043 Park St', 'Castle Rock, CO 80109-1585 | Map']",105 West Brewing Co
"['2005 2nd Ave', 'Anoka, MN 55303-2243 | Map']",10K Brewing
"['491 Washington St', 'Abington, MA 02351-2419 | Map']",10th District Brewing Company
"['6820 Bourgeois Rd', 'Houston, TX 77066-3107 | Map']",11 Below Brewing Company
"['141 E Main St', 'John Day, OR 97845-1210 | Map']",1188 Brewing Co
"['80 Earhart Dr Ste 20', 'Williamsville, NY 14221-7804 | Map']",12 Gates Brewing Company
"['3000 E Ray Rd Bldg 6', 'Gilbert, AZ 85296-7832 | Map']",12 West Brewing Company
"['Mesa, AZ 85207', 'Type: Micro']",12 West Brewing Company - Production Facility
"['3090 Shirley Dr', 'Jackson, MI 49201-7010 | Map']",127 Brewing
"['820 Main St', 'Louisville, CO 80027-1865 | Map']",12Degree Brewing
"['141 E 4th St Ste LL2', 'Saint Paul, MN 55101-1639 | Map']",12welve Eyes Brewing
"['7391 Forbes Rd', 'Cincinnati, OH 45233-1013 | Map']",13 Below Brewery
"['250 Mill St, Suite PW3101', 'Taylors, SC 29687 | Map']",13 Stripes Brewery
"['6410 SE Milwaukie Ave', 'Portland, OR 97202-5518 | Map']",13 Virtues Brewing Co
"['1323 Capital Blvd 1323 R and D', 'Raleigh, NC 27603-1117 | Map']",1323 R & D
"['31125 Via Colinas Ste 907', 'Westlake Village, CA 91362-3974 | Map']",14 Cannons Brewing Company
"['Crosslake, MN 56442', 'Phone: (218) 692-4129']",14 Lakes Brewery
"['Alexandria, OH', 'Type: Micro']",1487 Brewery
"['133 N Main St Ste 7', 'Saint Albans, VT 05478-1735 | Map']",14th Star Brewing
"['753 Reading Rd', 'Mason, OH 45040-1303 | Map']",16 Lots Brewing
"['413 S Bedford St', 'Georgetown, DE 19947-1849 | Map']",16 Mile Brewing Co
"['9542 Main St', 'Holland Patent, NY 13354 | Map']",16 Stone Brewpub
"['1129 Irvin Garrish Hwy', 'Ocracoke, NC 27960 | Map']",1718 Ocracoke Brewing
"['11109 Plank Rd', 'Spotsylvania, VA 22553-4258 | Map']",1781 Brewing Company
"['2010 A State Ave', 'Coraopolis, PA 15108 | Map']",180 and Tapped
"['100 B South Olive St', 'okolona, MS 38860 | Map']",1817 Brewery
"['342 E Ward St', 'Milwaukee, WI 53207-1348 | Map']",1840 Brewing Company
"['Mariposa, CA 95338', 'Type: Micro']",1850 Brewing Company
"['5417 Oakley Ave', 'Hammond, IN 46320-1817 | Map']",18th Street Brewery
"['5725 Miller Ave', 'Gary, IN 46403-2871 | Map']",18th Street Brewery
"['1301 S Chestnut St', 'Assumption, IL 62510-8504 | Map']",1905 Brewing Company
"['2045 N Forbes Blvd Ste 105', 'Tucson, AZ 85745-1444 | Map']",1912 Brewing
"['7324 NE 175th St', 'Kenmore, WA 98028-2500 | Map']",192 Brewing
"['1337 Lincoln Ave Unit 1', 'Holbrook, NY 11741-2275 | Map']",1940's Brewing Company
"['39 River Rd Ste 6', 'Essex Junction, VT 05452-3879 | Map']",1st Republic Brewing Co
"['202 E Main St', 'White Sulphur Springs, MT 59645-9081 | Map']",2 Basset Brewery
"['228 Church St', 'Montrose, PA 18801-1271 | Map']",2 Dogz and A Guy Brewing
"['80 Columbia St', 'Bangor, ME 04401-6319 | Map']",2 Feet Brewing Company
"['6856 S 300 W', 'Midvale, UT 84047-1083 | Map']",2 Row Brewing
"['9925 Discovery Blvd', 'Manassas, VA 20109 | Map']",2 Silos Brewing Company
"['Whitehall, OH 43213-1308', 'Type: Micro']",2 Tones Brewing Co.
"['1018 Santa Rosa Plz', 'Santa Rosa, CA 95401-6399 | Map']",2 Tread Brewing Co
"['18 W Main St', 'Beacon, NY 12508-2512 | Map']",2 Way Brewing Company
"['209 Trade St', 'Danville, VA 24541-3545 | Map']",2 Witches Winery and Brewing Company
"['14148 NE 190th St Ste A', 'Woodinville, WA 98072-8437 | Map']",20 Corners Brewing LLC
"['3438 Stoluckquamish Ln', 'Arlington, WA 98223-9056 | Map']",210 Brewing Co
"['217 South St S', 'Wilson, NC 27893-4911 | Map']",217 Brew Works
"['563 2nd St', 'San Francisco, CA 94107-1411 | Map']",21st Amendment Brewery Cafe
"['2010 KY Route 321', 'Prestonsburg, KY 41653-9103 | Map']",23 Brewing Company / Lizzie B's Cafe
"['10321 E Day Mt Spokane Rd', 'Mead, WA 99021 | Map']",238 Brewing Company
"['3512 Clinton Pkwy', 'Lawrence, KS 66047-2145 | Map']",23rd Street Brewery
"['2600 E Atlantic Blvd', 'Pompano Beach, FL 33062-4940 | Map']",26 Degree Brewing Company
"['8680 Miralani Dr Ste 123', 'San Diego, CA 92126-6391 | Map']",2Kids Brewing Company
"['1601 Sublette Ave', 'Saint Louis, MO 63110-1924 | Map']",2nd Shift Brewing Co
"['117 Chestnut St Frnt', 'Philadelphia, PA 19106-4700 | Map']",2nd Story Brewing Company
"['120 Concord Rd', 'Aston, PA 19014-2909 | Map']",2SP Brewing Company
"['Fort Wayne, IN', 'Phone: (260) 402-7644']",2Toms Brewing Company
"['222 22nd St S', 'Saint Petersburg, FL 33712-1240 | Map']",3 Daughters Brewing
"['Sebastopol, CA 95472-5937', 'Phone: (707) 228-7309']",3 Disciples Brewing
"['7140 E County Line Rd', 'Highlands Ranch, CO 80126-3926 | Map']",3 Freaks Brewing Co
"['898 Via Lata Ste A', 'Colton, CA 92324-3920 | Map']",3 Iron Brewing Company
