"SITE_ID","YEAR","SEASON","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"GRC474","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.189","0.671","0.219","0.66","0.868","0.245","0.18","0.091","0.03","0.043","0.036"
"ROM406","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.168","0.32","0.154","0.301","0.45","0.122","0.085","0.023","0.012","0.013","0.013"
"ROM406","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.155","0.507","0.178","0.472","0.642","0.231","0.142","0.025","0.02","0.049","0.013"
"YEL408","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.812","0.444","0.207","0.155","0.359","0.164","0.152","0.038","0.022","0.026","0.024"
"ROM406","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","0.13","0.213","0.103","0.157","0.258","0.107","0.023","0.011","0.003","0.006","0.014"
"GRS420","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","0.369","0.836","0.224","0.649","0.863","0.253","0.102","0.082","0.025","0.041","0.048"
"ROM406","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.247","0.19","0.111","0.209","0.316","0.084","0.041","0.017","0.005","0.009","0.014"
"YOS404","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.243","0.57","0.559","0.601","1.15","0.342","0.162","0.084","0.028","0.115","0.031"
"YOS404","2017.0","SP","02/28/2017 09:00:00","05/30/2017 08:00:00","0.459","0.688","0.262","0.343","0.6","0.229","0.097","0.088","0.027","0.045","0.018"
"YOS404","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.722","0.886","0.421","0.906","1.312","0.341","0.13","0.161","0.037","0.059","0.029"
"YEL408","2014.0","FA","09/02/2014 09:00:00","12/02/2014 08:00:00","0.469","0.332","0.125","0.132","0.255","0.13","0.103","0.044","0.014","0.023","0.022"
"YEL408","2016.0","WI","12/01/2015 09:00:00","03/01/2016 08:00:00","0.687","0.141","0.1","0.094","0.193","0.072","0.017","0.014","0.003","0.007","0.015"
"GRC474","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","","","","","","","","","","",""
"ROM206","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.225","0.653","0.185","0.569","0.745","0.263","0.163","0.035","0.022","0.045","0.014"
"YOS404","2018.0","WI","11/28/2017 09:00:00","02/27/2018 08:00:00","0.122","0.195","0.18","0.208","0.385","0.071","0.064","0.054","0.011","0.026","0.023"
"GRC474","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","0.202","0.627","0.328","0.33","0.653","0.202","0.311","0.121","0.042","0.036","0.047"
"YEL408","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","0.604","0.254","0.108","0.142","0.248","0.111","0.078","0.02","0.011","0.018","0.016"
"GRS420","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","1.038","1.204","0.443","1.043","1.469","0.463","0.108","0.055","0.015","0.035","0.021"
"GRS420","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.454","1.338","0.243","0.913","1.142","0.373","0.166","0.116","0.038","0.059","0.025"
"GRS420","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.339","1.904","0.298","0.914","1.197","0.5","0.241","0.115","0.047","0.07","0.027"
"ROM406","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","0.228","0.247","0.166","0.23","0.392","0.129","0.025","0.019","0.004","0.007","0.017"
"YEL408","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.505","0.228","0.098","0.133","0.228","0.13","0.085","0.018","0.011","0.032","0.015"
"YOS404","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","0.356","0.83","0.332","0.419","0.744","0.242","0.136","0.125","0.035","0.042","0.028"
"ROM406","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.162","0.304","0.142","0.306","0.443","0.146","0.098","0.022","0.014","0.029","0.017"
"ROM406","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","0.315","0.329","0.142","0.291","0.429","0.147","0.083","0.018","0.011","0.018","0.014"
"YOS404","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","0.347","0.738","0.342","0.36","0.696","0.229","0.143","0.121","0.035","0.04","0.031"
"GRC474","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.234","0.237","0.141","0.342","0.477","0.107","0.06","0.023","0.01","0.012","0.016"
"GRC474","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","0.223","0.729","0.307","0.36","0.661","0.238","0.249","0.101","0.044","0.038","0.049"
