"SITE_ID","YEAR","WEEK","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"ROM406","2016.0","13.0","03/22/2016 09:00:00","03/29/2016 08:00:00","0.17","0.299","0.182","0.22","0.399","0.12","0.077","0.026","0.012","0.012","0.013"
"ROM406","2017.0","12.0","03/21/2017 09:00:00","03/28/2017 08:00:00","0.314","0.36","0.576","0.372","0.942","0.246","0.106","0.017","0.011","0.018","0.013"
"ROM406","2015.0","14.0","03/31/2015 09:00:00","04/07/2015 08:00:00","0.213","0.66","0.399","0.297","0.692","0.23","0.311","0.118","0.039","0.034","0.041"
"ROM406","2014.0","10.0","03/04/2014 09:00:00","03/11/2014 08:00:00","0.113","0.261","0.104","0.151","0.252","0.094","0.064","0.021","0.01","0.013","0.013"
"ROM406","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","0.382","0.583","0.322","0.427","0.743","0.235","0.142","0.048","0.026","0.026","0.013"
"ROM406","2014.0","11.0","03/11/2014 09:00:00","03/18/2014 08:00:00","0.151","0.275","0.107","0.157","0.261","0.1","0.084","0.035","0.012","0.012","0.017"
"ROM406","2018.0","13.0","03/27/2018 09:00:00","04/03/2018 08:00:00","0.102","0.415","0.225","0.318","0.538","0.127","0.173","0.043","0.026","0.023","0.013"
"ROM406","2018.0","11.0","03/13/2018 09:00:00","03/20/2018 08:00:00","0.144","0.302","0.273","0.458","0.724","0.149","0.083","0.025","0.011","0.015","0.013"
"ROM406","2018.0","10.0","03/06/2018 09:00:00","03/13/2018 08:00:00","0.17","0.243","0.294","0.255","0.545","0.143","0.065","0.023","0.011","0.017","0.013"
"ROM406","2016.0","14.0","03/29/2016 09:00:00","04/05/2016 08:00:00","0.197","0.264","0.088","0.274","0.357","0.117","0.044","0.013","0.008","0.008","0.014"
"ROM406","2018.0","12.0","03/20/2018 09:00:00","03/27/2018 08:00:00","0.098","0.279","0.254","0.199","0.45","0.135","0.084","0.02","0.014","0.013","0.013"
"ROM406","2013.0","13.0","03/26/2013 09:00:00","04/02/2013 08:00:00","0.138","0.691","0.522","0.403","0.918","0.262","0.141","0.034","0.024","0.025","0.013"
"ROM406","2014.0","12.0","03/18/2014 09:00:00","03/25/2014 08:00:00","0.217","0.639","0.49","0.244","0.73","0.314","0.109","0.023","0.015","0.017","0.014"
"ROM406","2016.0","10.0","03/01/2016 09:00:00","03/08/2016 08:00:00","0.169","0.258","0.158","0.173","0.328","0.076","0.103","0.053","0.013","0.016","0.013"
"ROM406","2016.0","11.0","03/08/2016 09:00:00","03/15/2016 08:00:00","0.174","0.266","0.122","0.378","0.493","0.106","0.065","0.014","0.008","0.009","0.013"
"ROM406","2017.0","10.0","03/07/2017 09:00:00","03/14/2017 08:00:00","0.351","0.264","0.152","0.29","0.438","0.109","0.073","0.019","0.011","0.019","0.013"
"ROM406","2013.0","12.0","03/19/2013 09:00:00","03/26/2013 08:00:00","0.194","0.857","0.239","0.139","0.376","0.287","0.09","0.035","0.018","0.021","0.013"
"ROM406","2014.0","13.0","03/25/2014 09:00:00","04/01/2014 08:00:00","0.166","0.516","0.171","0.251","0.419","0.2","0.109","0.019","0.014","0.02","0.013"
"ROM406","2013.0","11.0","03/12/2013 09:00:00","03/19/2013 08:00:00","0.13","0.435","0.238","0.27","0.504","0.144","0.135","0.043","0.022","0.022","0.013"
"ROM406","2016.0","12.0","03/15/2016 09:00:00","03/22/2016 08:00:00","0.166","0.342","0.13","0.265","0.391","0.142","0.065","0.018","0.01","0.012","0.013"
"ROM406","2017.0","13.0","03/28/2017 09:00:00","04/04/2017 08:00:00","0.213","0.169","0.068","0.199","0.264","0.067","0.029","0.009","0.004","0.007","0.013"
"ROM406","2017.0","11.0","03/14/2017 09:00:00","03/21/2017 08:00:00","0.57","0.559","0.159","0.344","0.497","0.217","0.117","0.033","0.015","0.025","0.013"
"ROM406","2015.0","13.0","03/24/2015 09:00:00","03/31/2015 08:00:00","0.282","0.258","0.095","0.229","0.32","0.101","0.11","0.023","0.014","0.012","0.013"
"ROM406","2015.0","12.0","03/17/2015 09:00:00","03/24/2015 08:00:00","0.269","0.46","0.185","0.505","0.682","0.155","0.141","0.027","0.018","0.02","0.013"
"ROM406","2013.0","10.0","03/05/2013 09:00:00","03/12/2013 08:00:00","0.193","0.57","0.605","0.256","0.857","0.231","0.181","0.039","0.024","0.025","0.013"
"ROM406","2015.0","11.0","03/10/2015 09:00:00","03/17/2015 08:00:00","0.209","0.303","0.202","0.39","0.586","0.094","0.115","0.025","0.014","0.018","0.013"
"ROM206","2014.0","11.0","03/11/2014 09:00:00","03/18/2014 08:00:00","0.15","0.28","0.101","0.164","0.263","0.097","0.079","0.034","0.011","0.011","0.018"
"ROM206","2018.0","11.0","03/13/2018 09:00:00","03/20/2018 08:00:00","0.147","0.285","0.211","0.344","0.549","0.141","0.067","0.021","0.01","0.013","0.013"
"ROM206","2016.0","13.0","03/22/2016 09:00:00","03/29/2016 08:00:00","0.162","0.329","0.243","0.241","0.48","0.141","0.065","0.024","0.011","0.011","0.016"
"ROM206","2018.0","13.0","03/27/2018 09:00:00","04/03/2018 08:00:00","0.112","0.398","0.213","0.265","0.474","0.13","0.173","0.041","0.025","0.022","0.013"
"ROM206","2016.0","10.0","03/01/2016 09:00:00","03/08/2016 08:00:00","0.183","0.287","0.272","0.172","0.442","0.114","0.101","0.051","0.013","0.015","0.012"
"ROM206","2018.0","12.0","03/20/2018 09:00:00","03/27/2018 08:00:00","0.095","0.284","0.295","0.228","0.519","0.139","0.082","0.021","0.013","0.013","0.013"
"ROM206","2016.0","11.0","03/08/2016 09:00:00","03/15/2016 08:00:00","0.165","0.229","0.115","0.266","0.377","0.092","0.066","0.016","0.009","0.01","0.013"
"ROM206","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","0.335","0.601","0.344","0.425","0.763","0.239","0.144","0.049","0.027","0.027","0.013"
"ROM206","2013.0","10.0","03/05/2013 09:00:00","03/12/2013 08:00:00","0.175","0.52","0.449","0.188","0.633","0.19","0.165","0.036","0.021","0.022","0.013"
"ROM206","2016.0","14.0","03/29/2016 09:00:00","04/05/2016 08:00:00","0.157","0.27","0.092","0.209","0.297","0.111","0.044","0.014","0.008","0.009","0.013"
"ROM206","2014.0","10.0","03/04/2014 09:00:00","03/11/2014 08:00:00","0.118","0.258","0.092","0.151","0.241","0.095","0.064","0.026","0.01","0.014","0.02"
"ROM206","2017.0","13.0","03/28/2017 09:00:00","04/04/2017 08:00:00","0.224","0.2","0.091","0.207","0.295","0.087","0.033","0.011","0.006","0.009","0.013"
"ROM206","2016.0","12.0","03/15/2016 09:00:00","03/22/2016 08:00:00","0.168","0.338","0.125","0.269","0.389","0.133","0.082","0.021","0.011","0.013","0.013"
